# Source: Superads (superads.ai)
# Data period: February 2025 - January 2026 (13-month averages)
# Based on $3B+ worth of advertising data across thousands of ad accounts
# Scraped: 2026-02-20
# URLs: https://www.superads.ai/facebook-ads-costs/cpm-cost-per-mille/{slug}
#        https://www.superads.ai/facebook-ads-costs/cpc-cost-per-click/{slug}
#        https://www.superads.ai/facebook-ads-costs/ctr-click-through-rate/{slug}
# Global benchmarks: CPM $19.81 | CPC $1.11 | CTR 1.86%
Country	CPM ($)	CPC ($)	CTR (%)	URL Slug
Argentina	3.74	0.23	2.20	argentina
Australia	15.73	1.01	1.78	australia
Brazil	3.33	0.35	1.07	brazil
Canada	12.90	0.92	1.45	canada
Colombia	1.96	0.19	1.73	colombia
Denmark	8.61	0.76	1.57	denmark
France	9.67	0.76	1.33	france
Germany	14.27	0.92	1.57	germany
India	1.81	0.17	1.31	india
Israel	8.38	0.57	1.48	israel
Italy	9.56	0.47	2.05	italy
Netherlands	11.18	0.73	1.53	netherlands
New Zealand	19.05	0.89	2.08	new-zealand
Norway	14.03	0.84	1.63	norway
Philippines	1.33	0.16	1.93	philippines
Singapore	21.50	1.61	1.33	singapore
South Africa	2.82	0.22	1.50	south-africa
Spain	6.06	0.36	1.80	spain
Sweden	11.00	0.86	1.29	sweden
United Arab Emirates	19.20	1.30	1.39	united-arab-emirates
United Kingdom	19.60	1.17	1.73	united-kingdom
United States	22.20	1.24	1.91	united-states
